Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003
47.29,Morning,Weekend,1.0,High,Clear,2.71,1.75,0.14,87.75,97.75249999999998
30.92,Morning,Weekday,4.0,Low,Rain,2.47,1.31,0.23,15.73,46.5931
2.41,,Weekday,2.0,Low,Clear,3.47,0.87,0.19,31.26,11.5061
45.83,Morning,Weekend,3.0,Medium,Clear,2.5,0.57,0.48,,65.9479
33.71,Morning,Weekday,2.0,Low,Rain,,1.75,0.13,38.23,66.1224
41.93,Evening,Weekend,4.0,Medium,Rain,4.34,1.64,0.21,69.27,87.6519
38.42,Afternoon,Weekday,1.0,Low,Clear,4.29,0.63,0.4,65.68,54.76660000000001
18.31,Afternoon,Weekday,1.0,Medium,Rain,4.05,1.37,0.21,64.22,42.6209
27.33,Afternoon,Weekday,4.0,High,Clear,2.24,0.6,0.13,25.97,22.0141
27.59,Evening,Weekend,1.0,Medium,Rain,2.07,1.03,0.46,67.33,61.459500000000006
109.61608204688008,Afternoon,Weekday,4.0,High,Clear,4.46,1.69,0.23,53.88,327.21766546350466
2.1,Morning,Weekend,3.0,Low,Clear,,1.05,0.22,94.38,25.4386
18.0,Night,Weekday,1.0,,Clear,3.23,1.61,0.46,28.92,45.513200000000005
7.25,Night,Weekday,,Low,Clear,2.1,1.73,0.17,19.51,17.9592
38.13,,Weekday,4.0,High,Rain,3.42,0.63,0.27,52.23,41.544
5.99,Night,Weekday,3.0,Medium,Clear,2.76,1.57,0.25,115.4,41.014300000000006
42.8,Afternoon,Weekday,,High,Rain,4.06,1.11,0.36,16.62,57.55120000000001
17.75,Afternoon,Weekday,4.0,Low,Clear,,1.96,0.2,66.5,51.03
13.48,Afternoon,Weekday,3.0,Low,Rain,3.21,1.07,0.22,96.07,38.769
48.82,Evening,Weekday,2.0,High,Clear,2.27,1.7,0.14,101.76,99.5104
,Morning,Weekend,1.0,Low,Clear,3.14,,0.14,89.47,34.4316
13.85,Night,Weekday,4.0,Medium,Clear,4.77,1.25,0.38,98.75,59.6075
10.06,Morning,Weekday,2.0,Medium,Rain,2.41,1.16,0.38,16.0,20.1596
15.36,Afternoon,Weekday,1.0,Low,Clear,3.49,0.74,0.34,6.06,16.9168
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032
31.29,Night,Weekday,,Medium,Clear,4.1,1.9,0.28,57.45,79.637
25.65,Evening,Weekday,2.0,Medium,Snow,2.49,0.84,0.22,110.81,48.4142
21.65,Evening,Weekday,3.0,High,Clear,2.18,1.05,,24.22,31.6941
42.63,Morning,Weekend,1.0,High,Clear,4.14,,0.21,17.36,46.15260000000001
,Evening,,,Low,Clear,4.62,1.86,0.43,7.19,45.89750000000001
18.69,Evening,Weekday,3.0,Medium,Clear,4.9,1.79,0.17,79.41,51.8548
107.78683195771164,Morning,Weekend,1.0,High,Clear,2.05,1.3,0.18,79.6,322.7259960920446
47.53,Morning,Weekday,2.0,Medium,,2.11,0.77,0.2,90.19,56.7461
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765
25.63,Morning,Weekday,3.0,High,Clear,3.06,0.84,0.16,,39.066
20.08,Afternoon,Weekend,1.0,Low,Clear,2.8,1.05,0.42,,49.5082
45.12,Afternoon,Weekday,4.0,Medium,Clear,,1.52,0.2,35.34,79.70039999999999
6.69,Night,Weekday,4.0,Low,Clear,3.3,1.88,0.45,,44.6007
30.33,Evening,Weekday,4.0,Low,,3.48,0.51,0.15,116.81,36.4698
30.72,Afternoon,Weekend,3.0,,Clear,4.75,1.19,0.12,35.2,45.5308
3.22,Morning,Weekday,3.0,,Clear,3.36,,0.37,34.15,20.0527
46.2,Morning,,1.0,Medium,Clear,2.93,1.46,0.43,16.33,77.40390000000001
26.3,Evening,Weekday,2.0,Medium,Clear,3.03,1.61,0.39,52.71,65.9299
4.77,Morning,Weekend,2.0,High,Clear,,0.96,0.18,105.91,
8.01,Afternoon,Weekday,3.0,High,Clear,,0.98,0.43,50.28,31.7102
4.63,Afternoon,Weekday,,Medium,Clear,4.95,0.91,0.39,24.87,18.8626
,Night,Weekday,1.0,Medium,Clear,3.38,1.5,0.31,58.31,45.8161
23.81,Morning,Weekend,1.0,Medium,Rain,2.81,1.91,0.24,62.02,63.1719
17.21,Afternoon,Weekday,2.0,Low,Rain,4.48,1.61,0.1,106.78,42.8661
35.04,Morning,Weekend,4.0,Medium,Rain,2.9,1.1,0.15,9.99,
47.42,Afternoon,Weekend,3.0,High,Rain,3.36,,0.3,30.47,95.9602
33.74,Afternoon,Weekday,4.0,High,Rain,4.97,0.92,0.42,48.47,56.3682
37.79,Afternoon,,1.0,Medium,Clear,4.86,0.98,0.2,13.64,44.6222
14.72,Morning,Weekday,,Low,Clear,4.2,1.95,0.39,13.32,38.0988
8.37,Night,Weekend,3.0,Low,Rain,2.27,1.62,,80.78,52.9882
15.43,Evening,Weekend,3.0,Medium,Clear,3.16,0.96,0.41,73.79,48.2267
44.83,Afternoon,Weekend,3.0,Medium,Snow,2.17,1.09,0.19,72.04,64.7223
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.2028
40.91,Afternoon,Weekday,1.0,Medium,Clear,4.73,1.16,0.28,19.1,57.53359999999999
19.37,Morning,Weekday,3.0,Medium,Clear,4.69,0.69,0.11,81.08,26.9741
21.95,Morning,Weekday,3.0,Medium,Clear,4.05,0.88,0.1,44.99,27.865
35.15,Afternoon,Weekday,1.0,Medium,Rain,2.76,,0.21,96.08,91.8308
,Afternoon,Weekday,3.0,Medium,Rain,2.03,0.91,0.19,12.42,31.4168
43.23,Morning,Weekday,2.0,Low,Rain,3.51,0.78,0.35,96.01,70.8329
35.14,Morning,Weekend,2.0,Medium,Clear,4.17,1.05,0.11,113.49,53.550900000000006
6.79,Morning,Weekend,3.0,Medium,Clear,2.61,1.65,0.12,72.29,22.4883
44.87,Afternoon,,4.0,Low,Clear,4.27,,0.34,90.81,
35.14,Afternoon,Weekend,2.0,Medium,Clear,3.88,0.81,0.28,55.94,48.006600000000006
23.33,Morning,Weekday,1.0,Low,Snow,2.04,1.92,,34.0,59.0736
44.74,,Weekday,2.0,Medium,Clear,3.65,1.25,0.49,6.72,62.8678
11.19,,Weekday,3.0,Low,Clear,4.05,0.6,0.3,84.0,35.964
15.43,Evening,Weekday,2.0,High,Clear,2.73,0.93,0.16,75.12,29.0991
42.26,Morning,Weekday,3.0,High,Rain,2.3,1.69,0.26,40.14,84.1558
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,,75.5657
,Night,Weekday,2.0,High,Clear,3.34,1.49,0.27,115.73,89.0764
5.35,,Weekday,1.0,Low,Clear,4.72,1.42,0.12,87.36,22.8002
31.54,Morning,Weekday,2.0,High,Clear,3.09,1.91,0.26,93.37,87.6076
17.94,Afternoon,,2.0,Low,Rain,4.14,1.43,,15.13,33.2741
7.32,Afternoon,Weekday,4.0,Medium,Clear,2.62,1.43,0.39,117.69,58.9867
108.14699381139414,Morning,Weekday,1.0,Low,Clear,2.25,,0.36,97.16,239.17140732641303
9.68,Morning,Weekday,2.0,Medium,,3.37,1.91,0.13,72.94,31.341
2.49,Afternoon,Weekday,,Low,Clear,2.8,1.74,0.32,108.02,41.699
34.9,Afternoon,Weekend,3.0,Medium,Clear,4.9,0.85,0.25,38.29,44.1375
48.29,Afternoon,Weekend,3.0,Medium,Rain,3.1,1.57,0.23,109.74,104.1555
29.2,Afternoon,Weekday,3.0,High,Rain,3.76,1.45,0.18,76.53,59.87539999999999
5.09,Afternoon,Weekday,4.0,Low,,4.48,0.53,0.21,71.35,
20.26,Morning,Weekday,3.0,Low,Rain,2.29,0.63,0.27,29.7,23.0728
30.43,Morning,Weekend,2.0,Medium,Clear,4.52,1.3,0.37,56.58,65.0136
7.71,Afternoon,Weekday,3.0,Low,Clear,4.91,,0.33,116.62,53.726
,Evening,Weekday,,,Clear,3.05,0.74,0.35,105.71,74.58429999999998
27.27,Afternoon,Weekend,3.0,High,Clear,2.52,0.78,0.37,65.42,47.996
48.15,Night,Weekday,2.0,Low,Clear,3.45,0.95,0.34,69.03,72.6627
23.45,Afternoon,Weekday,1.0,,Clear,2.02,1.94,0.1,104.02,57.915
11.96,Evening,Weekday,2.0,Medium,Snow,4.81,1.49,0.27,70.7,41.71940000000001
14.34,Evening,Weekday,1.0,Low,Rain,3.69,1.85,,,38.035
,Afternoon,Weekday,,Medium,Rain,3.84,1.55,0.41,19.2,39.9065
43.44,Evening,Weekend,3.0,,Clear,2.97,1.87,0.23,,101.1216
12.86,Evening,Weekday,1.0,Low,Clear,2.39,1.13,0.4,56.62,39.5698
30.7,Morning,Weekend,4.0,Low,Clear,2.38,1.09,0.21,41.37,44.5307
5.16,Night,Weekday,2.0,Medium,Clear,3.23,1.72,0.25,58.17,26.6477
23.27,Afternoon,Weekend,2.0,Low,Clear,4.88,1.9,0.38,78.31,78.85079999999999
5.47,Morning,Weekend,1.0,Medium,Clear,2.52,0.82,0.17,75.75,19.8829
36.28,,Weekday,2.0,Low,Rain,4.53,1.64,,7.73,66.039
30.27,Afternoon,Weekend,4.0,Medium,Clear,3.66,0.67,0.41,41.65,41.0174
3.25,Night,Weekday,3.0,Medium,Clear,4.39,1.86,0.16,,28.5966
8.21,Morning,Weekend,3.0,Medium,Clear,2.97,1.36,0.34,95.18,46.49680000000001
9.41,,Weekend,3.0,Low,Clear,4.32,0.53,0.48,39.21,28.1281
22.44,Morning,Weekday,3.0,High,,3.0,1.25,0.23,63.08,45.5584
44.94,Evening,Weekday,1.0,Low,Clear,2.61,1.04,0.31,64.02,69.1938
40.83,Afternoon,Weekday,1.0,Medium,Clear,3.87,1.5,0.24,45.05,75.92699999999999
49.02,Afternoon,Weekend,4.0,Low,Clear,4.9,1.65,0.16,59.03,95.2278
40.68,Morning,Weekday,3.0,,Clear,3.01,1.11,0.12,84.0,58.2448
19.44,Night,Weekday,,Low,,4.04,1.82,0.47,33.26,55.053
45.41,Afternoon,Weekday,2.0,Low,Clear,3.85,0.51,0.12,69.95,35.4031
44.71,Night,Weekday,1.0,Low,Rain,2.5,1.94,0.47,45.94,
33.28,,Weekday,1.0,Medium,Rain,4.55,1.86,0.42,8.33,69.9494
10.88,Evening,Weekday,2.0,Medium,Clear,,1.92,0.34,,41.9406
32.95,Morning,Weekday,1.0,Medium,Clear,3.36,1.56,0.19,81.37,
6.68,Night,Weekend,2.0,Medium,Clear,3.32,1.35,0.38,12.08,16.9284
3.52,Evening,Weekday,4.0,Medium,Rain,3.88,1.53,0.23,87.64,29.4228
145.74705994904548,Morning,Weekday,3.0,High,Rain,2.82,0.83,0.49,60.29,325.0989498083767
2.8,Morning,Weekday,3.0,Low,Clear,2.45,,0.45,86.63,44.2055
36.39,Afternoon,Weekday,2.0,Low,,3.09,0.64,0.27,67.24,44.5344
45.64,Afternoon,Weekend,4.0,,Rain,3.56,1.3,0.4,39.63,78.744
9.49,Evening,Weekday,1.0,Medium,Clear,2.28,0.68,0.13,32.82,12.9998
45.16,Afternoon,Weekend,3.0,High,Clear,2.04,,0.41,85.1,79.833
30.19,Morning,Weekday,2.0,Medium,,2.37,0.76,0.4,113.33,70.6464
17.54,Morning,Weekday,2.0,Low,Rain,2.56,1.29,0.49,52.06,50.696
7.59,Afternoon,Weekday,2.0,High,,3.95,0.67,0.25,59.78,23.9803
4.84,Evening,,3.0,Medium,Rain,4.96,0.58,0.12,51.22,13.9136
4.26,Afternoon,Weekend,4.0,,Clear,2.57,0.7,0.14,66.19,14.8186
13.37,Afternoon,Weekday,2.0,Low,Rain,2.85,1.92,0.19,114.32,50.2412
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82,36.2624
21.04,Afternoon,Weekday,2.0,Low,Rain,2.36,0.85,0.2,72.41,34.726
16.8,Afternoon,Weekday,4.0,Medium,Rain,2.78,0.88,,62.63,26.9585
33.91,Afternoon,Weekday,4.0,Medium,Clear,,0.53,0.11,,29.2693
,Afternoon,,4.0,Low,Clear,4.81,0.65,0.26,10.76,28.7716
139.476514583775,Evening,Weekday,1.0,Low,Clear,4.37,1.38,0.2,46.85,296.0886973121837
28.14,Evening,Weekend,3.0,Medium,Clear,2.45,,0.4,87.85,86.5536
,Afternoon,Weekday,2.0,High,Rain,2.3,0.89,0.12,74.77,26.1176
26.09,,Weekday,4.0,Medium,Rain,3.92,0.87,0.45,62.23,54.62179999999999
21.93,Afternoon,,3.0,Low,,4.53,0.76,,74.52,48.024
17.7,Afternoon,Weekend,1.0,Medium,Clear,3.39,1.24,0.3,6.12,27.174
39.79,Afternoon,Weekday,1.0,High,Snow,2.33,1.9,0.36,,101.5506
28.04,Evening,Weekend,4.0,High,Clear,3.61,1.89,0.48,9.69,61.2568
29.57,,Weekday,3.0,Low,Clear,4.62,1.11,0.32,39.61,50.117900000000006
6.86,Night,Weekend,2.0,High,Clear,2.93,1.18,0.18,102.45,29.4658
,Morning,Weekday,2.0,Low,Rain,3.59,0.69,0.27,87.25,47.33
6.56,Afternoon,Weekday,3.0,Low,Clear,3.48,0.85,0.31,97.94,39.4174
26.06,Afternoon,Weekend,4.0,Medium,Clear,2.08,1.14,0.23,113.99,
11.04,Evening,Weekend,2.0,High,Clear,2.83,0.59,0.38,5.93,11.596999999999998
49.36,Morning,,4.0,High,Rain,4.92,1.13,0.12,36.56,65.084
2.83,Morning,Weekday,1.0,Low,Snow,3.99,0.96,0.19,11.65,8.920300000000001
11.88,Afternoon,Weekday,1.0,,,3.75,0.71,0.34,30.47,22.544600000000003
3.53,Morning,Weekend,1.0,Low,Clear,2.9,0.59,0.12,92.82,16.1211
,Night,Weekday,1.0,High,Clear,,1.42,0.48,23.11,19.2572
28.16,Morning,Weekend,,,Clear,3.91,0.8,0.48,79.78,64.7324
14.96,Morning,Weekday,1.0,Medium,Rain,3.79,0.9,0.17,66.66,28.5862
25.23,Morning,Weekday,3.0,Low,Rain,3.94,1.35,0.13,100.22,51.0291
23.5,Morning,Weekday,4.0,Medium,Clear,3.34,1.0,0.23,43.87,36.9301
16.84,Morning,Weekend,2.0,Medium,Snow,2.17,1.01,0.12,98.03,30.942000000000004
39.08,Afternoon,Weekday,,Low,Clear,2.44,1.63,,36.57,83.694
5.42,Morning,Weekday,3.0,Medium,Rain,3.85,1.84,0.24,68.73,30.318
30.03,,Weekday,1.0,High,Clear,3.31,1.05,0.36,83.21,64.7971
20.47,Night,Weekday,3.0,Medium,Rain,3.65,,0.34,48.83,31.306
32.02,Afternoon,Weekday,2.0,,Clear,3.78,1.7,0.34,6.39,60.38660000000001
37.78,Night,Weekend,2.0,Medium,Clear,4.4,0.72,0.23,40.76,40.9764
11.29,Evening,Weekday,3.0,Medium,Clear,2.11,,0.44,105.79,62.6572
29.95,Morning,Weekday,2.0,Medium,Clear,4.24,0.7,0.24,98.23,48.7802
49.51,Morning,Weekend,2.0,Medium,Clear,4.84,0.78,0.2,13.75,46.207800000000006
48.16,,Weekend,1.0,,Rain,3.72,1.63,0.28,100.12,110.2544
12.1,Morning,Weekend,,Low,Clear,,0.59,0.31,,19.2643
3.85,Afternoon,Weekday,4.0,High,Rain,3.51,1.66,,5.05,11.2645
45.08,Afternoon,Weekend,2.0,High,Clear,3.82,0.57,,110.21,70.29329999999999
48.5,Evening,Weekday,1.0,Low,Clear,3.61,1.66,0.39,79.03,114.9417
40.96,Morning,Weekend,1.0,High,,3.94,1.82,0.4,35.89,92.8432
29.92,Afternoon,Weekday,1.0,Low,Clear,2.14,1.14,0.28,23.1,
,Morning,Weekday,3.0,High,Snow,2.81,1.04,0.34,,66.85679999999999
32.63,Night,Weekday,1.0,Medium,Clear,2.12,0.86,0.37,15.33,35.8539
2.81,Evening,Weekend,3.0,Low,Rain,2.82,1.12,0.38,56.65,27.4942
25.79,Afternoon,Weekday,2.0,Medium,Clear,4.86,0.66,0.13,66.91,30.5797
,Afternoon,Weekday,3.0,Low,Clear,4.03,0.74,0.14,49.37,18.7636
33.22,Night,Weekend,1.0,Low,Clear,2.31,1.66,0.32,41.02,70.5816
40.19,Afternoon,Weekday,1.0,Medium,Clear,2.79,1.12,0.1,51.19,52.9218
35.21,Afternoon,Weekend,4.0,Medium,Clear,3.94,0.56,0.39,110.06,66.581
6.87,Morning,Weekday,2.0,Medium,Rain,2.56,1.5,0.23,9.0,14.935
40.17,Evening,Weekday,3.0,Low,Clear,3.81,0.66,0.42,62.66,56.6394
,Evening,Weekday,1.0,Medium,Clear,3.77,1.15,0.31,87.74,77.0499
33.34,Night,Weekend,1.0,Medium,Clear,4.28,0.52,0.41,72.33,51.2721
25.26,Evening,Weekday,2.0,High,Clear,3.95,1.71,0.12,82.53,57.0482
15.14,Morning,Weekday,3.0,Low,Rain,2.73,0.7,0.37,89.96,46.61319999999999
112.8309582902826,Afternoon,Weekday,2.0,High,Snow,3.35,1.9,0.23,78.63,233.00828520738887
122.82019097975328,Afternoon,Weekday,,High,Clear,4.13,0.96,0.12,30.98,247.5983178992313
5.34,,Weekday,2.0,Low,Clear,2.34,,0.18,12.72,10.2366
44.88,Afternoon,Weekday,1.0,Medium,Clear,3.87,0.58,0.5,77.08,68.4404
19.34,Afternoon,Weekend,2.0,Low,,2.06,1.51,0.46,104.31,79.24600000000001
27.14,Afternoon,Weekend,2.0,Medium,Clear,3.99,0.57,0.49,24.44,31.4354
7.7,Morning,Weekday,3.0,Low,Rain,2.08,1.78,,54.18,33.1236
23.35,Night,,3.0,Low,Rain,3.59,0.6,0.24,66.8,33.632000000000005
43.56,Afternoon,Weekday,3.0,Low,Rain,2.26,1.04,0.11,89.67,57.426100000000005
7.33,Afternoon,Weekend,2.0,Medium,Rain,4.6,1.5,0.49,29.35,29.9765
49.99,Afternoon,Weekend,3.0,Low,Clear,3.07,0.93,0.36,86.67,80.7619
40.5,Afternoon,Weekend,3.0,Low,Rain,2.8,1.54,,112.84,84.3528
6.63,Afternoon,Weekend,4.0,Medium,Clear,4.08,1.72,0.25,101.28,40.8036
14.17,Afternoon,Weekend,4.0,Low,Snow,4.84,0.65,0.15,37.82,19.7235
116.66768073006573,Morning,Weekday,2.0,High,Clear,3.81,0.74,0.25,110.82,248.29520891209057
38.98,Afternoon,Weekday,3.0,Low,Clear,3.16,1.28,0.26,15.47,57.0766
41.3,Afternoon,Weekday,1.0,Medium,Rain,2.22,,0.2,71.5,37.17
19.45,Afternoon,Weekday,1.0,High,Clear,2.4,0.86,0.29,16.93,24.0367
43.55,Afternoon,Weekday,2.0,Low,,4.97,0.79,0.33,111.3,
27.59,Night,Weekend,1.0,Medium,Clear,3.69,0.58,0.49,113.43,75.27289999999999
43.99,Morning,Weekday,3.0,Medium,Clear,4.62,1.69,0.36,23.91,
20.55,Evening,Weekday,3.0,Low,Snow,3.73,1.48,0.4,47.54,53.16
38.25,Morning,,1.0,Low,Rain,3.49,1.18,0.17,109.53,67.24510000000001
9.37,Afternoon,Weekday,1.0,Medium,Clear,2.35,1.67,0.13,18.1,20.3509
7.9,Afternoon,Weekday,3.0,Medium,Clear,3.61,1.91,0.42,55.74,42.1098
49.38,Morning,Weekday,1.0,Low,Clear,3.64,1.03,0.28,9.47,57.153000000000006
37.92,Evening,Weekday,2.0,Medium,Rain,2.02,0.84,0.39,112.04,77.56840000000001
22.17,Night,,4.0,Low,Clear,2.34,1.97,0.41,57.59,69.6268
46.55,Night,Weekday,3.0,High,Clear,4.41,1.42,0.3,42.88,83.375
31.75,Morning,Weekday,1.0,,Rain,2.13,1.75,0.19,68.64,70.7341
45.3,Afternoon,Weekend,3.0,Medium,Rain,2.32,0.73,0.28,8.51,37.7718
5.96,Afternoon,Weekday,,Low,Clear,4.96,0.69,0.23,81.77,27.8795
45.36,Night,Weekday,3.0,Medium,Clear,2.7,0.77,0.24,70.04,54.436800000000005
4.11,Evening,Weekend,2.0,High,Rain,4.1,0.63,0.15,30.48,11.2613
14.3,Night,Weekday,3.0,High,Clear,4.99,0.99,0.37,108.2,59.181
14.19,Night,Weekend,1.0,Medium,Clear,3.91,1.5,0.32,,44.507000000000005
43.49,Evening,Weekday,1.0,Low,Clear,2.77,1.45,0.2,68.97,79.6245
2.76,Afternoon,Weekday,3.0,Low,Clear,4.73,1.81,0.3,59.25,
20.02,Night,Weekday,3.0,High,Clear,3.37,0.61,0.12,63.16,23.1614
4.46,Afternoon,Weekend,3.0,Medium,Clear,3.22,0.53,0.3,60.41,23.7068
1.56,Afternoon,Weekday,4.0,High,Clear,2.93,1.31,0.37,79.16,34.2628
35.4,Morning,Weekday,3.0,,Clear,4.47,1.98,0.46,93.88,117.7468
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95,88.13279999999999
46.31,Afternoon,Weekday,1.0,Medium,Rain,4.74,1.8,0.35,,96.939
10.59,Morning,Weekday,4.0,Medium,Clear,4.44,,0.24,79.64,38.0619
33.92,Evening,Weekend,4.0,Low,Clear,3.59,0.76,0.17,39.58,36.09780000000001
46.12,Afternoon,Weekday,3.0,Low,Clear,4.11,1.86,0.21,59.7,102.4302
19.02,Night,Weekday,2.0,Low,,2.42,1.14,0.4,49.68,43.9748
20.43,Evening,Weekday,2.0,Medium,Clear,2.51,1.43,0.39,53.63,52.6406
,Morning,Weekday,4.0,High,Clear,3.97,1.73,0.19,58.48,73.0708
37.53,Afternoon,Weekday,4.0,Low,Rain,2.19,1.84,0.48,62.05,101.0292
18.55,Afternoon,Weekday,1.0,Medium,Clear,4.28,1.07,0.14,,25.3115
25.14,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.15,0.19,43.04,40.2186
27.07,Evening,Weekday,1.0,Medium,Clear,2.23,0.74,0.25,35.88,31.2318
34.86,Evening,Weekday,4.0,Low,Clear,3.74,1.45,0.4,21.52,62.895
8.49,Evening,Weekday,,Low,Snow,3.47,,0.25,99.35,33.2317
26.7,Evening,Weekday,4.0,Medium,Clear,4.51,1.62,0.22,13.75,50.789
12.77,Morning,Weekday,3.0,Low,Clear,3.37,0.53,,20.9,17.662100000000002
21.03,Evening,Weekday,4.0,Low,,4.74,1.41,0.4,105.47,76.5803
39.04,Afternoon,Weekday,4.0,Medium,Clear,,1.08,0.28,61.79,62.0444
27.25,Evening,Weekend,1.0,Low,Rain,3.74,1.62,0.3,,66.566
48.22,Night,Weekday,3.0,Medium,Clear,4.96,1.99,0.22,19.21,105.144
6.25,Night,Weekend,4.0,Medium,Snow,2.05,1.23,0.37,94.31,44.6322
9.75,Afternoon,Weekend,1.0,Medium,Clear,3.89,0.99,0.3,105.81,45.2855
14.97,Evening,Weekday,2.0,,Rain,2.43,0.86,0.18,37.85,22.1172
16.63,Evening,,2.0,Medium,Clear,2.77,1.15,0.32,17.94,27.6353
47.58,Morning,Weekday,3.0,Low,Clear,4.13,0.8,0.31,105.33,74.8463
35.64,Night,Weekend,1.0,High,Rain,3.94,0.62,0.1,104.02,36.4388
40.6,Afternoon,Weekend,3.0,Medium,Clear,2.73,0.55,0.26,17.2,29.532000000000004
10.42,Morning,Weekday,1.0,Low,Clear,,0.85,0.28,112.71,43.0058
,Afternoon,Weekday,2.0,Medium,Clear,4.06,1.05,0.46,7.26,39.4771
49.53,Morning,Weekday,2.0,Medium,Clear,4.16,1.19,0.16,36.33,68.9135
45.47,Night,Weekend,4.0,Low,Rain,2.12,1.28,0.23,56.93,73.4155
