Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
32.04,Afternoon,Weekday,3.0,Low,Clear,3.26,0.65,0.2,31.8,30.446
,Morning,Weekday,3.0,Low,Clear,4.0,1.87,0.15,100.36,51.031000000000006
23.97,Morning,Weekday,1.0,High,Clear,2.79,1.24,0.26,48.93,45.2346
23.96,Afternoon,Weekday,3.0,,Clear,3.11,1.52,0.43,102.92,83.7848
5.47,,Weekday,3.0,Low,Clear,2.49,1.22,,118.44,44.69539999999999
38.28,Afternoon,Weekday,1.0,Medium,Clear,,1.08,0.39,51.33,63.56110000000001
7.83,Afternoon,Weekday,4.0,Medium,Clear,4.16,0.93,0.18,99.63,29.3753
24.14,Morning,Weekday,2.0,Low,,3.92,1.69,,82.14,55.3948
42.92,Morning,Weekday,3.0,High,Clear,4.66,1.05,0.34,62.85,71.095
13.07,,Weekend,2.0,Medium,Clear,3.27,1.4,0.19,16.47,24.6973
24.88,Morning,Weekend,2.0,High,Clear,3.4,1.54,0.2,68.14,55.3432
26.76,Afternoon,Weekday,2.0,High,Clear,3.55,0.82,0.44,38.42,42.398
23.58,Afternoon,Weekday,2.0,Medium,Clear,2.54,0.6,0.34,38.5,29.778
17.94,Morning,Weekday,1.0,High,Clear,3.69,0.69,0.49,85.75,58.0861
40.17,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.88,0.22,65.69,93.1014
38.78,Morning,Weekday,3.0,Medium,Clear,3.08,1.62,0.15,90.14,
48.53,Night,Weekday,3.0,Low,Clear,4.78,,0.5,79.94,
43.06,Afternoon,,1.0,Low,Clear,4.74,1.71,0.38,42.04,94.3478
28.22,Morning,Weekday,3.0,High,Clear,2.7,1.38,0.14,100.83,55.7598
45.56,Afternoon,Weekday,,Low,Clear,,0.9,0.5,80.8,85.88400000000001
2.69,Afternoon,Weekday,4.0,Low,Clear,4.6,1.95,0.34,97.49,42.9921
13.14,,Weekday,3.0,Low,Clear,3.6,1.11,0.14,35.14,23.105000000000004
10.14,Afternoon,Weekday,4.0,Low,Rain,4.5,1.62,0.38,25.41,
4.81,Afternoon,Weekend,1.0,Low,Clear,4.3,1.87,0.28,117.44,46.1779
36.08,Afternoon,Weekday,4.0,Low,Clear,,1.29,0.17,84.96,65.2064
9.44,Morning,Weekday,1.0,Low,Clear,4.56,0.57,0.18,14.92,12.6264
31.38,Night,Weekday,4.0,High,Clear,3.86,0.58,0.2,32.85,28.6304
2.54,Morning,Weekend,,Low,Clear,2.8,1.3,0.37,53.11,25.7527
22.63,Morning,Weekday,2.0,Medium,Clear,4.33,,0.44,73.27,
46.9,Evening,Weekday,1.0,High,Clear,4.14,1.33,0.13,66.38,
40.83,Evening,Weekday,1.0,Low,Rain,4.9,1.35,,39.9,69.99549999999999
15.37,Morning,Weekday,1.0,,Clear,4.95,1.07,0.37,64.12,45.1203
19.29,Evening,Weekend,3.0,Low,Clear,3.99,1.51,0.16,94.79,48.2843
1.97,Afternoon,Weekday,1.0,Medium,Clear,2.08,1.98,0.37,71.48,32.428200000000004
41.04,Afternoon,Weekday,,Medium,Clear,3.78,0.85,0.1,54.37,44.101
19.95,Morning,Weekday,3.0,Low,,2.5,0.88,0.49,,
46.61,Evening,Weekday,1.0,High,Clear,2.74,1.84,0.44,21.11,97.7908
14.14,Evening,Weekday,4.0,Low,Clear,3.06,,0.49,82.16,59.8622
30.96,Afternoon,Weekday,2.0,High,Clear,2.96,1.24,0.18,69.98,53.9468
5.06,Morning,Weekday,1.0,Medium,,2.8,1.22,0.48,83.63,49.11559999999999
46.54,Morning,Weekday,2.0,Low,Rain,2.07,0.84,0.22,85.74,60.0264
44.0,Morning,Weekday,3.0,Low,Clear,4.99,1.2,0.46,41.76,76.9996
26.43,Afternoon,Weekend,4.0,Medium,Clear,3.85,1.41,0.36,48.72,58.65549999999999
47.05,Morning,Weekday,4.0,Low,Snow,2.52,1.87,0.49,77.86,128.6549
35.11,Afternoon,Weekday,3.0,Low,Rain,3.29,1.36,0.45,42.67,70.2411
23.08,Morning,Weekend,4.0,Medium,Rain,2.38,1.31,0.24,89.61,54.1212
3.0,Afternoon,Weekday,1.0,Low,Clear,3.79,0.73,0.28,9.82,8.729600000000001
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0,27.4415
47.79,,Weekend,4.0,Low,Clear,2.52,0.82,0.28,106.03,71.3962
44.8,Morning,Weekend,1.0,Low,Clear,4.51,1.58,0.35,94.11,108.2325
5.59,Afternoon,Weekday,2.0,High,Clear,4.39,,0.1,30.31,17.147599999999997
7.74,Afternoon,Weekday,1.0,Low,Clear,,1.29,0.12,21.54,15.0994
4.68,Afternoon,Weekend,4.0,Medium,Rain,2.03,1.24,0.47,97.5,53.6582
105.94355003672597,Night,Weekend,2.0,Low,Rain,3.94,1.69,0.32,23.03,201.869509186128
2.3,Night,Weekend,,Low,Clear,2.43,1.44,0.26,29.64,13.4484
13.05,Morning,Weekday,1.0,Low,Clear,3.22,1.79,0.12,103.2,38.9635
23.21,Afternoon,Weekday,4.0,Medium,Clear,3.4,1.18,0.15,100.48,45.85979999999999
25.09,Morning,Weekend,2.0,Medium,Snow,3.25,1.87,0.33,70.95,73.5818
38.31,Afternoon,Weekend,1.0,Low,Clear,2.99,0.64,0.41,31.15,40.2799
42.76,Afternoon,Weekday,2.0,Medium,Rain,4.85,1.29,0.17,67.92,71.5568
9.64,Evening,,4.0,Medium,Clear,3.53,1.28,,87.39,39.4645
45.03,Afternoon,Weekday,1.0,High,Clear,2.76,0.95,0.24,32.28,53.2857
35.95,Evening,Weekday,2.0,Low,Clear,3.13,0.92,0.41,33.13,49.78730000000001
28.5,Afternoon,Weekday,1.0,Medium,Clear,4.92,1.78,0.46,109.33,105.9418
38.0,Evening,Weekday,,High,Clear,4.54,1.85,0.29,30.31,83.6299
4.65,Afternoon,Weekday,1.0,Medium,,4.51,1.08,0.43,56.54,33.8442
19.15,Afternoon,Weekday,2.0,Medium,Clear,2.01,1.3,0.15,80.61,38.9965
29.34,Afternoon,Weekday,2.0,High,Clear,2.05,1.59,0.48,70.14,82.3678
8.28,Night,Weekday,4.0,Medium,Snow,3.25,1.27,0.49,11.7,19.4986
5.12,Morning,Weekend,4.0,Low,Clear,3.17,1.92,0.21,75.09,28.7693
24.98,Afternoon,Weekend,3.0,Low,Rain,3.06,0.77,0.42,72.14,52.5934
36.72,,Weekend,,Low,Clear,2.39,1.56,0.17,13.03,61.8883
9.05,Afternoon,Weekend,2.0,Medium,Clear,3.74,0.51,0.18,59.73,19.1069
,Afternoon,Weekday,1.0,Medium,Clear,3.02,0.7,0.35,94.88,70.745
26.95,Afternoon,Weekend,2.0,Low,Clear,2.44,1.32,0.22,,44.7548
40.7,Evening,Weekday,2.0,,Clear,4.16,1.81,0.38,35.27,91.2296
14.76,Evening,Weekend,3.0,Medium,Clear,3.89,1.92,0.47,49.98,55.71979999999999
14.77,Afternoon,Weekend,4.0,Medium,Clear,4.8,1.21,0.28,113.4,54.42370000000001
10.14,Evening,Weekday,3.0,High,Rain,2.73,1.06,0.4,16.24,19.974400000000003
,Evening,Weekend,1.0,Low,Snow,2.1,1.47,0.27,48.69,76.48649999999999
46.7,Night,Weekday,2.0,Medium,Clear,4.94,,0.35,14.65,53.0315
46.07,Afternoon,Weekend,3.0,High,Clear,2.58,0.79,0.43,113.36,87.7201
32.4,Night,Weekend,4.0,Low,Clear,4.33,1.88,0.28,13.17,68.9296
41.08,Morning,,4.0,Low,,3.31,1.71,0.46,36.86,90.5124
40.38,Morning,Weekday,1.0,Medium,Rain,,0.8,0.23,115.21,63.432300000000005
44.67,Afternoon,Weekend,2.0,Medium,Rain,4.55,1.12,0.46,14.16,61.09400000000001
12.88,Morning,Weekday,4.0,Medium,Rain,4.81,0.76,0.18,98.13,32.2622
10.6,Afternoon,Weekday,3.0,Medium,Clear,4.21,,0.3,73.28,32.342
22.6,Afternoon,Weekday,1.0,Medium,Clear,3.41,1.77,0.28,27.31,51.058800000000005
31.58,Night,Weekend,1.0,Medium,Rain,4.57,0.88,0.24,91.7,54.3684
4.4,Morning,Weekend,2.0,Low,Rain,3.77,1.94,0.1,45.28,16.834
139.06223019422194,Afternoon,Weekday,2.0,Low,Rain,2.8,1.82,0.14,50.83,276.84059674137075
16.27,Morning,Weekday,1.0,Low,Clear,2.34,,0.41,97.35,64.05529999999999
31.67,Morning,Weekday,1.0,Low,Clear,3.52,,0.11,10.16,23.9563
18.11,Evening,,2.0,Low,Rain,2.93,1.61,0.37,74.66,59.7113
22.85,Morning,Weekend,3.0,Medium,Clear,4.34,,0.23,29.69,45.44370000000001
25.42,Evening,Weekday,4.0,Low,Snow,2.73,1.03,0.41,49.45,49.1871
20.23,Afternoon,Weekend,,Low,Clear,3.93,1.42,0.38,7.17,35.3812
26.4,Afternoon,Weekday,4.0,Low,Clear,2.52,,0.39,108.34,
19.16,Afternoon,Weekend,2.0,Low,Clear,4.64,0.57,,111.87,34.5791
49.14,Afternoon,Weekday,3.0,High,Rain,3.58,1.21,0.22,27.99,69.1972
36.58,Evening,Weekend,4.0,,Rain,3.13,1.15,0.15,83.96,57.791
24.2,Afternoon,Weekday,1.0,Low,Snow,2.43,0.75,0.28,103.17,49.4676
36.23,Morning,Weekend,4.0,,Rain,3.61,,0.27,,97.1094
14.65,Evening,Weekend,2.0,High,Clear,3.74,1.79,,29.58,40.020700000000005
12.17,Afternoon,Weekend,4.0,Low,Rain,2.15,1.73,0.31,7.35,25.4826
29.59,Afternoon,Weekend,4.0,High,Snow,4.6,1.32,0.28,75.26,64.73160000000001
48.51,Evening,Weekday,3.0,High,Rain,,1.0,0.48,110.18,104.1764
8.98,Evening,,2.0,High,Clear,4.59,1.67,0.22,84.33,38.1392
27.54,Afternoon,Weekend,1.0,Low,Clear,4.3,0.96,0.49,102.08,80.7576
,Afternoon,Weekend,4.0,Medium,Rain,2.98,1.24,0.28,36.68,44.7092
,Afternoon,Weekday,3.0,High,Clear,4.37,0.8,0.49,18.39,14.6611
37.97,Evening,Weekday,2.0,High,Rain,3.6,1.13,0.45,113.49,97.57659999999998
19.08,Afternoon,Weekend,4.0,Medium,Clear,4.36,1.22,0.1,115.6,39.1976
27.91,Morning,Weekend,3.0,Low,Clear,4.53,1.22,0.24,,42.0962
15.27,Morning,,,Low,Clear,3.93,0.73,0.12,,27.3543
6.55,Morning,Weekend,3.0,Medium,Rain,4.43,0.55,0.3,45.41,21.6555
8.51,Morning,,4.0,Medium,Clear,2.43,1.58,0.49,63.88,47.177
23.09,Morning,Weekday,3.0,High,Rain,3.58,1.68,,23.94,48.835
1.53,Evening,Weekday,1.0,Low,Clear,4.33,1.7,0.42,77.3,
13.12,Afternoon,Weekday,3.0,Medium,Snow,4.62,1.17,0.44,102.3,64.9824
10.04,Afternoon,Weekend,,Low,Clear,2.16,1.86,0.22,107.25,44.4294
34.53,Morning,Weekday,3.0,Medium,Clear,3.58,,0.26,59.14,60.0471
9.54,Afternoon,Weekend,1.0,,Rain,2.1,1.79,0.33,42.43,33.1785
46.49,Afternoon,Weekday,3.0,Low,Clear,4.08,1.99,0.34,63.05,118.0321
37.14,Evening,Weekday,3.0,Low,Clear,3.4,0.78,0.45,43.84,52.0972
8.87,Night,Weekday,3.0,Low,Clear,4.96,1.19,0.37,24.8,24.6913
7.82,Night,Weekend,2.0,Low,Rain,3.2,0.98,0.27,93.64,36.1464
28.68,Evening,Weekday,2.0,Medium,Rain,4.84,,0.12,103.25,40.174
49.3,Afternoon,Weekday,2.0,Low,Clear,2.38,0.86,0.4,47.72,63.866
100.38042000901908,Afternoon,Weekday,3.0,Medium,Rain,4.46,,,89.21,329.9130039401465
9.67,Morning,Weekend,4.0,Medium,Clear,2.96,1.94,0.26,42.3,32.7178
18.06,Afternoon,Weekend,3.0,High,Clear,2.72,0.77,0.33,20.16,23.279
25.63,Morning,Weekday,3.0,Medium,Rain,4.22,1.3,0.26,85.95,59.886
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18,69.0049
43.18,Afternoon,Weekday,3.0,High,Clear,3.03,1.54,,104.17,98.6948
33.35,Evening,Weekday,1.0,High,Clear,4.13,1.96,0.26,19.63,74.59979999999999
28.28,Afternoon,Weekday,2.0,Low,Rain,3.15,1.17,0.4,103.28,77.5496
18.79,Afternoon,Weekend,3.0,High,Rain,4.17,1.19,0.25,74.57,45.1726
15.15,Afternoon,Weekend,2.0,,Clear,4.43,1.06,0.5,98.52,69.749
5.56,Morning,Weekday,4.0,High,Clear,,1.69,0.13,54.22,19.145
43.7,,Weekday,3.0,Low,Clear,4.52,1.59,0.28,114.29,106.0042
138.76388715029725,Night,Weekday,2.0,High,Clear,3.98,1.71,0.39,74.32,332.0436886774302
11.11,Morning,Weekday,1.0,,,3.48,0.54,0.18,21.64,13.3746
17.71,Night,Weekday,4.0,Medium,Clear,2.71,1.48,0.48,6.06,31.829600000000003
27.04,Night,Weekday,2.0,High,Clear,2.3,0.67,0.15,,25.6218
39.64,Afternoon,Weekday,4.0,Medium,Rain,2.65,1.17,0.42,19.92,57.3952
24.11,Evening,,2.0,Medium,Clear,3.2,0.9,0.11,12.4,26.263
37.31,Morning,Weekday,2.0,High,Clear,3.1,0.95,0.46,35.63,54.9343
28.28,Evening,Weekday,2.0,Medium,Rain,4.41,1.88,0.16,87.9,71.6404
30.25,Evening,Weekend,2.0,Medium,Clear,2.38,1.17,0.48,17.18,46.0189
40.72,Evening,Weekday,2.0,High,Clear,3.64,0.62,0.35,98.49,63.3579
36.68,Morning,Weekday,4.0,Low,Clear,2.58,1.11,0.39,108.41,85.5747
33.46,Afternoon,Weekend,2.0,Low,Rain,2.23,0.63,0.12,64.07,30.9982
19.6,Morning,Weekday,3.0,Medium,Clear,4.82,1.4,,63.47,48.127500000000005
38.32,Evening,Weekday,1.0,Medium,Clear,4.58,0.98,0.37,28.41,52.6453
37.75,Evening,Weekday,2.0,Medium,Snow,3.55,0.56,0.12,44.99,30.0888
1.81,Night,Weekday,1.0,Low,Rain,2.86,1.71,0.32,20.63,12.5567
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93,56.716
21.49,Evening,Weekend,4.0,Low,Rain,4.45,1.71,0.28,47.2,54.4139
27.79,Evening,Weekday,2.0,Low,Clear,2.77,0.72,0.43,49.63,44.1197
46.9,Evening,Weekday,4.0,High,Clear,4.47,0.56,0.21,84.34,48.44540000000001
14.43,Morning,Weekday,4.0,High,Clear,2.81,1.46,0.21,24.69,29.0627
2.29,Morning,Weekend,1.0,Low,Clear,4.26,1.8,0.41,13.54,13.9334
9.59,Afternoon,Weekend,2.0,High,Clear,3.29,0.9,0.38,21.83,20.2164
31.84,Evening,Weekday,3.0,High,Snow,3.94,0.79,0.18,91.81,45.6194
5.61,,Weekday,1.0,High,Clear,2.32,0.97,0.11,,16.6464
7.09,Night,Weekend,2.0,,Clear,,1.91,0.22,102.35,39.1789
33.29,Afternoon,Weekday,3.0,High,Clear,4.48,1.1,0.19,52.09,50.996100000000006
130.80900130744172,Afternoon,Weekday,1.0,High,Clear,3.93,0.63,0.16,88.31,328.8717691378544
10.78,Evening,,3.0,High,Rain,3.92,0.54,0.33,56.07,28.2443
21.52,Night,Weekend,3.0,High,Rain,4.72,1.81,0.48,103.83,93.5096
41.27,Evening,Weekday,1.0,Low,Clear,2.64,1.65,0.33,107.76,106.2963
33.59,Morning,Weekday,4.0,Medium,Clear,4.99,1.16,0.15,77.02,55.5074
47.13,Evening,Weekday,4.0,Low,Clear,4.15,1.3,0.23,6.47,66.90710000000001
31.93,Afternoon,Weekday,1.0,Medium,Clear,4.77,1.71,0.32,37.67,71.4247
5.79,Evening,Weekday,4.0,Low,Clear,4.63,1.83,0.24,107.07,40.9225
18.43,Afternoon,Weekend,2.0,Low,Clear,2.17,1.08,0.2,114.78,45.03040000000001
4.49,Morning,Weekday,3.0,Low,Clear,3.25,1.78,0.31,111.33,45.75449999999999
48.2,,Weekday,3.0,Low,Clear,4.48,1.21,0.46,12.68,68.63480000000001
15.56,Afternoon,Weekday,2.0,,Rain,2.21,1.48,,109.57,59.2055
4.29,Morning,,3.0,Medium,Rain,2.02,0.99,0.43,17.92,13.9727
4.11,Afternoon,Weekend,4.0,Low,Snow,2.27,1.9,0.37,112.28,51.6226
33.51,Afternoon,Weekend,4.0,Low,Rain,3.94,1.09,0.32,67.27,61.9923
17.61,Morning,Weekday,1.0,Low,Clear,4.26,1.34,0.47,64.68,58.257000000000005
11.05,Night,Weekday,4.0,Medium,Clear,4.76,0.75,0.18,14.0,15.5675
20.64,Night,Weekday,3.0,Low,Clear,3.37,1.22,0.31,37.76,40.2564
40.88,Afternoon,Weekend,4.0,Low,Clear,,1.65,0.47,55.15,97.2125
24.33,Morning,Weekday,3.0,High,Clear,4.3,1.0,0.11,46.42,33.7362
,Night,Weekday,3.0,Low,Clear,2.11,0.82,0.4,85.0,45.9582
13.65,Afternoon,Weekday,2.0,Low,Clear,3.07,1.61,0.29,,
28.75,Afternoon,Weekend,2.0,High,Rain,4.8,1.42,0.22,63.9,59.68299999999999
32.04,,Weekday,4.0,Low,Clear,4.44,1.02,0.41,9.1,40.8518
13.71,Afternoon,Weekday,3.0,Low,Clear,3.54,0.76,0.3,27.87,22.3206
8.1,Afternoon,Weekend,1.0,High,Clear,2.62,0.98,0.13,31.19,14.6127
8.47,Evening,Weekend,2.0,High,Clear,3.33,1.15,0.2,61.93,25.4565
,Morning,Weekday,3.0,Medium,Clear,2.65,1.35,,25.61,55.3348
39.91,Evening,Weekday,4.0,Medium,Clear,3.65,1.33,0.44,42.63,75.4875
,Morning,Weekday,2.0,Low,Clear,4.01,1.65,0.17,109.77,37.355900000000005
48.68,Afternoon,Weekday,4.0,Low,Rain,2.59,1.01,0.14,51.44,58.9584
38.71,Afternoon,Weekday,2.0,Medium,Rain,2.41,1.25,0.31,114.7,86.3545
25.92,Night,Weekday,3.0,Low,Clear,3.97,1.71,0.46,22.79,58.7766
39.69,Afternoon,Weekday,3.0,Medium,Rain,4.9,0.57,0.38,,31.0915
37.87,Night,Weekday,1.0,High,Clear,3.76,,0.26,70.65,64.5434
6.73,Afternoon,Weekday,4.0,Low,Clear,3.39,1.78,0.47,9.87,20.0083
4.72,,Weekday,1.0,Low,Rain,4.28,1.48,0.48,50.89,35.6928
35.0,Morning,Weekday,2.0,Low,Snow,4.48,1.36,0.23,53.07,64.2861
4.93,Evening,Weekend,1.0,Medium,Clear,2.16,1.07,0.29,8.67,9.9494
27.43,Morning,Weekend,4.0,Low,Rain,2.58,1.59,0.28,23.53,52.7821
44.85,Evening,Weekend,1.0,Medium,Rain,3.83,0.51,0.29,52.52,41.9343
12.74,Evening,Weekday,4.0,Low,Rain,4.03,1.8,0.16,52.47,35.357200000000006
41.5,Evening,Weekday,3.0,Low,Clear,3.13,1.47,0.42,91.88,102.72459999999998
1.54,Afternoon,Weekday,3.0,High,Clear,3.62,1.56,0.38,10.13,9.8718
33.51,Afternoon,Weekend,3.0,Low,Clear,2.31,1.32,0.4,62.87,
32.65,Afternoon,Weekday,1.0,High,Clear,2.41,0.97,0.26,80.84,
48.09,Afternoon,Weekend,1.0,High,Clear,4.47,1.23,0.29,92.6,90.4747
13.18,Morning,Weekday,4.0,Medium,Clear,2.47,1.5,0.4,84.05,55.86
30.45,Morning,Weekday,3.0,High,Clear,2.77,1.78,0.34,110.33,
46.35,Morning,Weekday,1.0,Medium,Clear,3.1,0.95,0.24,89.15,68.52850000000001
15.93,Afternoon,Weekday,2.0,Low,,2.44,1.5,0.42,20.67,35.016400000000004
21.79,Evening,Weekday,2.0,High,Clear,4.37,1.17,0.34,5.61,31.7717
27.32,Afternoon,,2.0,Low,Clear,3.62,0.66,0.43,62.17,48.3843
16.53,Morning,Weekend,4.0,Medium,Clear,4.34,0.63,0.27,24.96,21.4931
32.23,Afternoon,Weekday,3.0,High,Clear,4.45,1.2,0.23,119.08,70.5144
19.81,Morning,Weekday,3.0,Low,Rain,2.5,1.5,0.19,61.26,43.8544
39.4,,Weekend,2.0,Medium,Rain,2.92,1.15,0.27,91.44,72.9188
24.74,Night,Weekend,3.0,High,Clear,5.0,1.82,0.36,107.93,88.8816
33.59,Afternoon,Weekday,1.0,Low,Rain,3.66,0.57,0.42,111.71,69.7245
42.93,Afternoon,Weekday,2.0,Medium,Clear,3.24,0.54,0.14,119.84,43.19980000000001
7.86,Afternoon,,3.0,Medium,Rain,4.82,0.75,0.26,,
2.93,Evening,Weekend,2.0,Medium,Snow,4.93,1.58,0.3,113.48,43.60339999999999
11.58,Morning,Weekday,3.0,Low,Rain,4.93,0.97,0.17,63.28,26.9202
31.96,Afternoon,Weekday,3.0,High,Clear,3.55,0.94,,14.64,35.0564
45.51,Evening,Weekday,1.0,Medium,Clear,4.23,0.63,0.13,27.65,36.4958
23.64,Morning,Weekend,1.0,Low,Clear,4.9,1.92,0.13,51.47,
1.98,Afternoon,Weekday,3.0,Low,Clear,3.4,1.92,0.15,51.56,
12.92,Night,Weekend,2.0,Low,Rain,3.69,1.14,0.14,,
26.49,Night,Weekday,1.0,High,Clear,3.54,1.82,0.15,99.2,66.6318
32.98,Morning,Weekday,3.0,High,Clear,3.67,0.64,0.49,109.94,78.64779999999999
47.57,Afternoon,Weekday,,Low,Rain,4.0,0.74,0.42,99.07,80.81119999999999
25.63,Afternoon,Weekday,3.0,Medium,Clear,4.21,,0.18,15.48,54.1556
30.87,Evening,Weekday,4.0,Medium,Clear,2.08,1.85,0.31,55.61,76.4286
46.98,Morning,Weekend,4.0,Low,Clear,4.4,1.92,0.45,15.7,101.6666
41.91,Afternoon,Weekday,2.0,Medium,Clear,4.82,1.19,0.34,26.72,63.7777
19.47,,Weekday,2.0,Low,Clear,4.68,1.15,0.16,84.35,40.56649999999999
28.97,Afternoon,Weekday,3.0,Medium,Clear,4.51,1.37,0.41,51.21,65.195
19.36,Night,Weekday,1.0,Medium,Rain,2.96,1.4,0.15,55.49,38.3875
29.59,Afternoon,Weekday,3.0,Medium,Rain,4.32,1.46,0.29,6.34,49.36
37.16,Afternoon,Weekend,2.0,Low,,3.08,1.72,0.44,39.71,84.4676
41.04,Afternoon,Weekend,1.0,High,Clear,3.5,1.06,0.4,41.3,63.522400000000005
6.39,Evening,Weekday,4.0,High,Clear,4.28,1.31,0.38,102.57,51.6275
45.0,Evening,Weekend,3.0,High,Clear,3.71,1.32,0.32,28.19,72.13080000000001
25.67,Morning,Weekend,3.0,High,,2.59,1.82,0.4,30.6,61.54940000000001
15.74,Afternoon,Weekday,2.0,,Clear,3.05,1.84,0.21,35.48,39.4624
9.15,Afternoon,Weekday,2.0,Medium,Snow,2.12,0.84,0.48,81.26,48.8108
,Night,Weekend,3.0,Medium,Clear,3.22,1.03,0.38,72.79,77.18900000000001
34.83,Afternoon,Weekday,3.0,Medium,Snow,4.83,1.12,0.41,87.5,79.71459999999999
39.99,Afternoon,Weekday,2.0,High,Clear,2.71,0.58,0.31,43.98,39.538
18.65,Afternoon,Weekday,1.0,Medium,Clear,4.75,0.98,0.36,87.41,54.49459999999999
6.05,Morning,Weekday,3.0,Medium,Clear,3.89,0.84,0.33,46.98,24.4754
16.58,Evening,,2.0,Low,Clear,4.46,1.23,0.16,62.79,
43.99,Night,Weekday,2.0,Low,Clear,2.64,0.96,0.29,74.71,66.5363
8.92,Morning,Weekday,3.0,Low,Clear,3.69,1.07,0.36,42.14,28.4048
,Morning,Weekday,2.0,Low,Rain,2.72,1.25,0.24,49.77,59.1773
21.98,Morning,Weekday,1.0,Medium,Clear,4.02,1.52,0.17,22.2,41.2036
22.97,Night,Weekend,2.0,Low,Rain,2.25,0.76,0.2,60.53,31.8132
