Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
49.24,Afternoon,Weekday,2.0,Medium,Clear,4.64,0.79,0.13,85.63,54.67150000000001
28.92,Afternoon,Weekend,1.0,Medium,Clear,3.5,0.62,0.11,10.15,22.5469
41.05,Night,,2.0,High,Snow,2.99,1.5,0.1,31.71,67.736
126.54762829842768,Afternoon,Weekend,1.0,Low,,4.23,0.85,0.28,29.3,224.9146628555729
12.67,Morning,Weekday,1.0,Low,Snow,,1.96,0.23,35.59,37.2489
26.03,Morning,Weekday,2.0,Medium,Clear,2.27,1.55,0.4,83.98,76.20850000000002
12.88,Morning,Weekend,2.0,Low,Clear,4.8,1.44,0.49,42.13,43.9909
25.76,Morning,Weekday,3.0,High,Clear,2.39,0.56,0.21,94.76,36.7152
9.9,Afternoon,Weekend,3.0,Medium,Clear,2.62,0.81,0.34,102.33,45.4312
,Afternoon,Weekday,1.0,Medium,Clear,3.05,0.98,0.24,,19.0904
43.98,Evening,Weekend,4.0,Low,Clear,4.53,1.21,0.32,47.22,72.8562
21.06,Afternoon,Weekend,3.0,Medium,Clear,3.19,1.74,0.28,17.7,44.7904
42.61,Morning,Weekday,3.0,Low,Rain,2.43,0.94,0.49,62.01,72.86829999999999
,Evening,Weekday,4.0,Low,Clear,3.08,0.7,0.38,27.81,25.3938
22.37,Evening,Weekday,3.0,Medium,Clear,3.27,1.32,0.12,13.15,34.376400000000004
31.76,Morning,Weekday,3.0,Low,Clear,3.01,0.9,0.1,33.58,34.952
46.78,Afternoon,Weekend,3.0,Medium,Clear,3.13,1.75,0.17,34.03,90.7801
7.87,Afternoon,Weekday,2.0,Low,Clear,3.52,1.57,0.16,64.51,26.1975
31.29,Morning,Weekday,3.0,Medium,Rain,4.41,,0.21,50.19,
2.24,Evening,Weekend,3.0,Medium,Clear,2.63,0.68,0.33,13.69,8.6709
8.43,Afternoon,Weekday,4.0,Low,Clear,2.36,0.88,0.13,57.18,
14.82,Evening,Weekday,4.0,High,Clear,3.7,0.81,0.18,88.36,31.609
36.9,Morning,Weekend,4.0,Low,Clear,3.94,1.81,0.28,106.66,100.5938
36.56,Evening,Weekend,3.0,Low,Clear,2.76,0.81,0.12,,40.9716
116.196063616616,Afternoon,Weekend,4.0,Medium,Clear,2.2,0.85,0.25,19.63,206.69956969976877
17.42,Afternoon,Weekday,4.0,Medium,Clear,2.09,1.92,0.3,88.42,62.0624
49.35,Morning,Weekday,2.0,,Clear,2.7,1.8,0.36,49.86,109.4796
29.6,Afternoon,Weekday,2.0,Low,Clear,3.51,1.5,0.18,24.02,52.2336
46.56,Morning,Weekday,3.0,Low,Clear,4.46,0.87,0.46,119.21,99.8038
21.85,Afternoon,Weekday,3.0,High,Rain,3.93,1.23,0.26,6.8,32.5735
29.27,Morning,Weekend,4.0,Medium,Rain,3.97,1.9,0.1,33.99,62.982
47.36,Evening,Weekday,1.0,,Clear,,1.85,0.15,71.86,102.885
18.85,,Weekday,3.0,Low,Clear,2.25,0.87,0.3,98.29,48.1365
44.94,Evening,,2.0,High,Clear,,1.83,0.42,103.37,129.5356
34.47,Afternoon,Weekday,1.0,High,Clear,4.49,1.01,0.46,5.5,41.834700000000005
38.77,Evening,Weekday,1.0,Medium,Clear,3.45,0.71,0.2,38.49,38.6747
9.72,Afternoon,Weekend,2.0,High,Clear,3.95,1.54,0.17,101.99,36.2571
25.13,Morning,Weekend,4.0,Medium,Rain,3.61,1.02,0.42,57.23,53.2792
45.51,Evening,Weekday,4.0,Medium,Rain,3.71,1.26,0.44,89.21,100.305
6.49,Morning,Weekday,3.0,Medium,,3.68,,0.19,31.66,
9.49,Evening,,3.0,High,Rain,3.74,1.9,0.48,46.08,43.8894
39.67,Evening,Weekday,1.0,Medium,Clear,3.88,1.16,0.23,52.06,61.871
104.37179088913676,,Weekday,1.0,Low,Rain,3.22,1.12,0.45,89.21,206.50865196831717
1.64,Afternoon,Weekday,3.0,Low,Clear,3.32,1.53,0.44,61.16,32.7396
34.39,,Weekday,4.0,Low,Clear,2.15,1.69,0.16,72.05,71.7971
47.07,Morning,Weekday,4.0,Medium,Rain,2.06,1.86,0.15,71.04,100.2662
28.93,Morning,Weekday,2.0,Medium,Clear,3.31,2.0,0.46,29.14,74.5744
12.38,Afternoon,Weekday,2.0,Medium,Rain,4.27,0.93,0.23,61.64,29.9606
37.63,Afternoon,Weekday,2.0,High,Clear,2.9,0.92,,74.12,72.356
26.07,Afternoon,Weekday,1.0,Medium,Clear,3.62,1.51,0.49,64.89,
,Afternoon,Weekday,1.0,Low,Clear,3.79,1.25,0.45,40.52,46.274
42.4,Afternoon,,4.0,Low,,4.6,0.79,0.36,15.91,43.823600000000006
37.02,Afternoon,Weekday,4.0,High,,3.44,1.91,0.14,,87.89620000000001
13.99,Afternoon,Weekday,4.0,,Clear,2.39,1.39,0.46,104.56,69.9337
45.81,Evening,Weekday,2.0,High,Clear,,1.41,0.28,26.73,75.03649999999999
43.62,Morning,Weekday,,High,Clear,2.83,0.6,0.26,68.86,46.90559999999999
3.11,Evening,Weekend,3.0,Low,Clear,4.42,0.59,0.16,36.62,12.1141
3.22,Afternoon,Weekday,1.0,Medium,Clear,4.21,1.17,0.3,80.58,32.151399999999995
8.97,Afternoon,Weekday,1.0,Low,Clear,4.89,1.07,0.25,44.17,25.5304
19.49,Night,Weekend,4.0,Medium,Rain,4.41,0.69,0.22,76.0,34.5781
22.31,Afternoon,Weekday,2.0,Low,Clear,3.15,1.94,0.31,26.43,54.6247
32.04,Afternoon,Weekend,3.0,Low,Clear,,1.5,0.22,54.73,62.9006
44.74,Morning,,,Medium,Rain,4.67,0.83,0.18,51.82,51.1318
37.66,Evening,Weekday,4.0,Medium,Clear,4.02,1.36,0.31,104.15,87.5241
10.34,Morning,Weekday,1.0,Medium,Clear,4.91,1.64,,95.63,43.8625
30.73,Morning,Weekend,3.0,Medium,Rain,4.33,1.83,0.19,63.09,72.553
44.64,Evening,Weekday,1.0,Medium,Rain,2.5,1.58,0.11,52.27,78.7809
,Morning,Weekend,4.0,Medium,Clear,2.82,1.18,0.42,91.53,47.375
7.57,Afternoon,Weekday,3.0,High,Clear,3.42,1.7,0.23,103.8,40.163
3.3,Afternoon,Weekend,2.0,Low,Clear,3.22,1.11,0.25,105.2,33.183
46.4,Afternoon,Weekday,4.0,Low,Clear,3.63,1.46,0.33,92.78,101.9914
43.73,Morning,Weekday,4.0,Low,Clear,4.64,1.97,0.44,108.76,138.6425
16.93,Afternoon,Weekday,4.0,Low,Snow,2.17,1.12,0.37,59.09,42.9949
45.83,Evening,Weekday,4.0,Medium,Clear,4.5,1.36,0.39,54.66,88.1462
8.56,Night,Weekend,4.0,Medium,Clear,2.63,,0.33,83.03,46.2939
36.68,,Weekend,3.0,High,Rain,3.89,0.94,0.36,106.25,76.6192
42.08,Afternoon,Weekend,1.0,Medium,Rain,2.27,1.41,0.19,64.53,73.86349999999999
40.61,Afternoon,Weekday,1.0,Low,Clear,2.31,0.88,0.38,42.25,54.1018
47.75,Evening,Weekday,4.0,High,Rain,3.78,1.68,0.49,,94.6379
34.2,,Weekday,1.0,Low,Clear,4.55,1.02,0.41,113.92,86.1412
22.15,Morning,Weekend,2.0,Low,Clear,2.56,0.91,0.42,24.45,32.985499999999995
36.39,Morning,Weekday,4.0,Low,Clear,2.26,1.47,0.34,114.15,94.5643
24.13,Afternoon,Weekday,1.0,,Snow,3.37,1.92,0.31,23.71,57.0497
49.85,Morning,Weekday,3.0,Medium,Clear,4.94,1.21,0.11,104.35,76.737
11.11,Evening,Weekend,3.0,Medium,Clear,3.79,1.01,0.17,59.73,25.1652
26.63,Afternoon,Weekend,2.0,High,Clear,2.52,,0.34,57.22,57.1264
,Morning,Weekend,1.0,Medium,Clear,3.43,0.91,0.5,67.43,60.077
1.71,Morning,Weekday,3.0,,Clear,3.72,1.67,0.17,50.16,15.1029
47.08,Evening,Weekend,1.0,High,Rain,4.67,0.76,0.34,73.93,65.587
37.63,Evening,Weekday,4.0,Medium,Clear,3.63,0.68,0.11,85.34,38.6058
43.26,Morning,Weekday,4.0,Medium,Snow,2.92,1.26,0.43,47.55,77.8741
16.86,Morning,Weekday,1.0,Medium,Clear,4.09,1.34,0.45,108.96,75.7144
6.76,Afternoon,Weekend,,Medium,Clear,3.2,1.3,0.45,35.43,27.9315
28.49,Evening,Weekend,,Medium,Clear,3.18,1.23,0.38,41.23,53.8901
5.87,Evening,Weekend,4.0,Low,Clear,2.84,0.93,0.34,58.15,28.0701
5.97,Afternoon,Weekday,4.0,Medium,Rain,4.69,1.89,0.32,90.57,44.95569999999999
19.23,Morning,Weekday,3.0,Medium,Clear,3.48,1.9,0.42,117.75,89.472
1.89,Morning,Weekday,2.0,Low,,4.6,0.74,0.41,114.1,52.77959999999999
22.02,Morning,Weekday,1.0,High,Clear,,0.51,0.3,71.54,
38.36,Evening,Weekday,3.0,Medium,Clear,4.94,0.79,0.36,39.09,49.3168
25.61,Evening,,3.0,High,Clear,3.79,1.56,0.29,79.89,66.9097
37.58,Afternoon,Weekday,4.0,Low,Snow,2.91,1.16,0.47,84.52,86.22719999999998
,Evening,Weekday,3.0,High,Clear,2.93,0.63,0.32,22.64,15.618000000000002
17.76,Afternoon,Weekday,2.0,,Rain,2.91,,0.34,21.79,32.1634
11.36,Afternoon,Weekend,1.0,Low,Clear,,1.66,0.36,115.59,62.8
13.64,Morning,Weekday,4.0,Medium,Rain,3.77,1.5,0.15,100.3,39.275
31.77,Afternoon,Weekday,4.0,Low,Clear,4.77,1.11,0.49,67.1,72.9137
22.52,Afternoon,Weekend,2.0,Medium,Clear,4.6,1.49,0.35,62.07,
6.56,Evening,Weekday,4.0,Low,Clear,2.32,1.59,0.38,50.68,32.0088
,Morning,Weekday,1.0,Medium,Clear,3.88,1.96,0.32,111.65,122.418
33.76,Evening,Weekday,1.0,Low,Rain,,1.66,0.5,82.76,102.3316
2.25,Evening,Weekend,3.0,Low,Clear,3.99,1.88,0.5,,40.65
21.78,Afternoon,Weekday,4.0,,Clear,3.15,0.56,0.12,91.02,26.2692
39.97,Night,Weekday,3.0,Medium,Rain,4.96,0.67,0.15,107.38,47.846900000000005
31.48,Evening,Weekday,1.0,Medium,,3.38,0.61,0.37,64.47,46.4367
20.07,Evening,Weekday,2.0,Medium,Snow,3.34,0.85,0.15,78.37,32.155
16.17,,Weekday,1.0,Medium,Rain,4.62,1.75,0.14,,45.28790000000001
26.48,Morning,Weekend,3.0,Medium,Clear,2.15,1.25,0.2,47.97,44.844
4.19,Morning,Weekday,1.0,Low,Clear,4.07,1.89,0.19,69.06,
32.42,Evening,Weekday,4.0,Low,Clear,2.58,1.41,0.11,14.18,49.852
,Morning,Weekday,3.0,Low,Clear,2.86,1.3,0.41,58.01,68.2181
32.46,Evening,Weekend,3.0,,Clear,2.88,1.36,0.5,111.71,102.8806
,Afternoon,Weekend,3.0,Low,Clear,2.55,1.46,0.37,38.26,85.6182
138.09832791310237,Evening,Weekend,4.0,Medium,Rain,2.24,1.75,0.32,94.86,280.87730155406564
12.32,Afternoon,Weekday,3.0,Low,Clear,3.8,1.15,0.31,6.37,19.9427
39.95,Evening,Weekend,3.0,Low,Clear,4.46,1.19,0.31,25.25,59.828
44.62,,Weekday,2.0,High,Rain,4.47,0.55,0.44,72.58,60.9462
7.25,,Weekend,3.0,Low,Clear,2.2,1.46,0.13,81.33,23.3579
40.91,Afternoon,,1.0,Medium,Clear,3.34,1.65,0.36,47.96,88.1071
15.04,Morning,Weekday,1.0,Low,Clear,5.0,1.78,0.11,15.09,33.4311
33.95,Afternoon,Weekday,2.0,Medium,Rain,2.86,1.42,0.15,,59.475
21.11,Evening,Weekend,3.0,High,Clear,3.54,0.65,0.36,36.5,30.4015
21.22,Morning,Weekday,2.0,Medium,Clear,3.76,1.85,0.3,100.66,73.21499999999999
9.91,Morning,Weekday,1.0,Medium,Rain,3.02,1.53,0.33,61.11,38.348600000000005
48.75,Afternoon,Weekend,2.0,Medium,Rain,3.46,1.02,0.46,17.41,61.1936
18.82,Afternoon,Weekday,2.0,Low,Rain,2.05,0.63,0.12,74.75,22.8766
41.61,Evening,Weekend,3.0,Low,Rain,2.79,0.78,0.15,,47.314800000000005
48.52,Evening,Weekend,2.0,Medium,,2.6,1.4,0.35,73.59,96.2845
,Evening,Weekday,2.0,Medium,Rain,3.46,0.83,0.47,51.82,56.2678
1.34,,Weekend,3.0,Medium,Clear,3.64,1.33,0.46,37.6,22.718200000000003
30.16,Morning,Weekend,4.0,Medium,Clear,3.55,1.5,0.13,117.57,
30.11,Morning,Weekday,3.0,Medium,Clear,3.25,1.33,0.3,36.34,54.1983
29.45,Night,Weekend,,Low,Rain,3.38,1.48,0.29,40.72,
13.02,Evening,Weekday,1.0,High,Clear,4.85,1.87,,89.6,48.0134
146.0670471598387,Afternoon,Weekday,2.0,Medium,Clear,4.79,0.73,0.3,60.81,320.958663578238
7.11,Morning,Weekday,2.0,Low,Rain,4.01,0.95,0.11,86.46,20.2751
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72,28.9914
33.93,Morning,Weekday,2.0,Low,Rain,,0.88,0.39,66.77,59.92869999999999
6.98,Afternoon,Weekend,2.0,Low,Clear,2.32,0.78,0.18,72.37,20.791
14.59,Morning,Weekend,2.0,Medium,Clear,,0.86,0.21,44.14,25.1968
14.81,Afternoon,Weekend,1.0,Low,Rain,3.46,0.9,0.12,29.64,20.3458
28.2,Morning,Weekend,2.0,Low,Clear,4.74,1.03,0.22,15.0,37.086
37.45,Afternoon,Weekday,4.0,Low,Clear,4.92,0.5,0.11,77.83,32.2063
16.94,Morning,Weekend,4.0,Low,Clear,2.56,0.63,0.19,65.42,25.662
29.73,Evening,Weekend,1.0,Low,Clear,3.17,,0.38,68.12,47.488200000000006
47.04,Night,Weekday,4.0,Medium,,4.83,1.38,0.36,79.54,98.3796
2.33,Morning,Weekday,2.0,Low,Rain,,1.38,0.33,105.78,43.0228
35.48,Afternoon,Weekday,3.0,Low,Clear,3.23,1.43,0.38,72.19,81.39859999999999
45.42,Evening,Weekend,3.0,Medium,Clear,4.16,0.74,0.47,27.93,50.89789999999999
36.81,Morning,Weekday,2.0,Low,Clear,2.45,1.87,0.39,19.66,78.95210000000002
29.15,Afternoon,Weekday,2.0,Medium,Clear,2.32,1.84,0.24,108.44,81.9816
26.59,Morning,Weekday,2.0,Medium,Clear,4.39,0.93,0.1,51.41,34.2597
3.54,Afternoon,Weekend,2.0,Low,Snow,3.21,0.7,0.26,55.94,20.2324
19.87,Afternoon,Weekend,1.0,High,,4.4,1.34,0.38,27.6,41.5138
7.85,Afternoon,,3.0,Low,Clear,2.36,,0.24,51.3,28.7235
32.81,Afternoon,Weekend,,Low,Clear,4.84,,0.23,64.74,55.82120000000001
25.14,Night,Weekday,3.0,High,Rain,3.87,1.04,0.31,42.11,43.069700000000005
45.95,Night,Weekday,4.0,Medium,Clear,3.12,0.61,,61.96,62.12950000000001
26.42,Night,Weekend,3.0,Low,Clear,4.8,1.98,0.22,16.49,60.7394
26.7,Morning,Weekend,1.0,Medium,Clear,2.72,1.31,0.19,53.21,47.8069
,Morning,Weekday,3.0,Low,,4.74,0.99,0.39,24.57,29.5584
5.12,Morning,Weekday,4.0,Medium,Clear,,1.62,0.4,,51.45840000000001
31.98,Morning,,3.0,Medium,Clear,2.32,1.16,0.35,52.39,57.7533
20.77,Morning,Weekend,4.0,Low,Clear,3.48,,0.26,,47.3268
9.02,Afternoon,Weekday,3.0,Low,Clear,3.17,1.14,0.31,89.73,
,Morning,,1.0,Low,Clear,3.63,0.8,0.19,109.95,60.7045
17.49,Afternoon,Weekday,2.0,Low,Clear,4.76,1.28,0.47,73.92,61.8896
,Evening,Weekday,,Low,Clear,2.15,1.62,0.47,42.81,29.7551
1.23,Morning,Weekday,1.0,,Clear,3.53,1.3,0.38,106.74,45.6902
42.48,Evening,Weekday,4.0,High,Clear,4.79,1.95,0.14,65.02,96.7288
13.22,Morning,Weekday,2.0,Low,Rain,3.79,0.68,0.37,51.92,31.99
29.91,Afternoon,,1.0,Low,Clear,4.38,1.4,0.11,58.4,52.678
40.53,Afternoon,Weekday,1.0,Medium,Clear,3.35,1.26,0.26,16.46,58.6974
47.59,Afternoon,Weekday,1.0,High,Clear,,0.62,0.43,40.57,
45.8,Evening,Weekday,2.0,Medium,Rain,,0.84,0.11,31.43,
6.22,Afternoon,Weekend,4.0,Medium,Clear,3.87,1.16,0.47,75.63,46.6313
11.44,Morning,Weekend,1.0,Low,Rain,3.0,1.28,0.2,103.06,38.2552
43.29,Evening,Weekday,1.0,Medium,Rain,2.12,1.82,0.37,36.05,94.2463
1.45,Evening,Weekend,1.0,High,Clear,2.8,1.73,,63.01,12.2396
48.32,Morning,Weekday,2.0,Low,Clear,2.49,0.61,0.44,67.25,61.5552
8.35,Afternoon,Weekday,4.0,Medium,Clear,3.96,1.81,0.4,43.66,36.5375
47.54,Afternoon,Weekend,1.0,Medium,Clear,3.88,0.86,0.38,,68.4308
44.5,Night,Weekend,4.0,Medium,Clear,4.02,1.47,0.45,23.88,80.18099999999998
6.45,Morning,Weekday,2.0,Low,Clear,2.13,1.73,0.46,44.01,33.5331
,Evening,Weekday,4.0,Medium,Clear,4.2,1.09,0.18,,66.1816
35.95,Afternoon,Weekend,4.0,Low,Clear,3.58,0.95,0.44,6.1,40.4165
5.79,Morning,Weekday,2.0,Medium,Clear,3.89,1.95,0.45,10.65,19.973
44.92,Morning,Weekday,2.0,Low,Clear,2.99,1.84,0.28,57.97,101.8744
18.18,Evening,Weekday,2.0,High,Rain,2.72,0.7,0.49,63.0,46.316
31.18,Afternoon,Weekday,1.0,Medium,Clear,2.71,0.79,0.35,89.23,58.5727
12.23,Afternoon,Weekday,4.0,Medium,Clear,2.77,0.95,0.3,38.38,25.9025
47.74,Evening,Weekday,3.0,High,Clear,3.71,0.67,0.17,53.16,44.733
11.4,Morning,Weekday,3.0,,Clear,4.12,,0.15,84.12,36.118
35.1,Afternoon,Weekday,2.0,,Rain,2.17,0.7,0.31,86.57,53.5767
9.28,Morning,Weekday,3.0,Medium,Clear,3.06,0.51,0.43,71.29,38.447500000000005
9.69,Morning,Weekday,2.0,Medium,Clear,4.75,1.04,0.26,85.28,37.0004
45.75,Morning,Weekday,3.0,Medium,Rain,4.16,0.75,0.23,52.31,50.5038
,Evening,Weekday,2.0,High,Clear,4.11,1.0,0.36,86.31,51.9016
1.64,,Weekday,2.0,Medium,Rain,2.74,1.92,0.43,82.51,41.3681
14.34,Afternoon,Weekday,1.0,Medium,Clear,3.23,1.01,0.29,45.07,30.7837
30.09,Morning,Weekend,,Low,Clear,3.54,1.63,0.22,45.84,62.6715
3.68,Afternoon,Weekday,3.0,Medium,Clear,3.94,1.16,0.44,79.58,43.224
29.63,Afternoon,Weekday,3.0,High,Clear,2.43,1.76,0.28,6.31,56.345600000000005
17.38,Morning,Weekday,2.0,Low,Rain,3.78,1.01,0.1,17.91,23.1248
34.55,Afternoon,Weekday,1.0,Low,Rain,2.47,1.03,,,63.615
23.17,Afternoon,Weekday,2.0,Low,Clear,4.15,1.79,0.35,93.07,78.1988
19.14,Evening,Weekend,2.0,Low,Snow,4.97,1.79,0.22,11.2,41.6946
20.22,Afternoon,Weekday,1.0,Low,Clear,3.46,0.55,,34.14,24.4816
8.65,Afternoon,Weekday,3.0,Medium,Rain,2.12,0.62,0.26,33.37,16.1592
7.68,Evening,Weekday,3.0,Medium,Clear,3.48,1.52,0.48,94.11,60.32639999999999
29.01,,Weekday,2.0,Low,Clear,4.36,1.39,0.2,88.77,62.4379
12.85,Evening,Weekday,4.0,Low,Snow,3.94,0.61,,26.63,23.4957
13.34,Afternoon,Weekend,4.0,Low,,4.29,0.71,0.45,87.97,53.3479
24.58,Afternoon,Weekend,1.0,Medium,Clear,2.22,1.92,0.13,70.61,58.59289999999999
49.66,Afternoon,Weekend,4.0,High,Clear,4.86,1.15,0.16,68.75,72.969
13.64,Night,Weekend,2.0,Medium,Rain,2.63,1.11,0.16,51.91,26.076
31.06,Evening,Weekday,4.0,Low,Clear,4.41,0.88,0.44,37.97,48.4496
3.22,Afternoon,Weekday,3.0,Low,Rain,2.83,1.63,0.31,93.78,37.1504
26.86,Afternoon,Weekday,4.0,Low,Clear,2.87,1.32,0.31,54.4,55.1892
35.5,Afternoon,Weekend,2.0,Low,Rain,3.21,1.91,0.35,111.09,109.89649999999996
2.79,Evening,Weekday,1.0,Low,,3.62,1.98,0.21,101.08,30.371
101.0397035425727,,Weekday,1.0,Low,Rain,4.39,1.79,,56.78,283.6452005933156
42.71,Morning,Weekday,3.0,Low,Clear,2.32,,0.15,33.91,48.4081
7.84,Morning,Weekday,4.0,Medium,,3.73,0.82,0.3,53.8,26.2988
48.17,Evening,Weekend,3.0,Medium,Clear,,1.69,0.27,44.82,96.3487
6.82,Afternoon,Weekday,2.0,Low,,4.43,1.93,0.12,103.11,29.965799999999994
19.02,Evening,Weekday,2.0,Medium,Clear,2.55,1.36,0.12,54.88,35.0028
40.12,Morning,Weekend,,High,Clear,3.88,1.61,0.24,116.97,96.546
19.77,Night,Weekday,4.0,Low,Clear,2.57,2.0,0.16,34.47,47.6252
,Afternoon,Weekend,2.0,Medium,Clear,2.47,0.83,0.45,80.7,76.1018
40.37,Afternoon,Weekday,1.0,High,Rain,3.46,1.9,0.43,84.32,116.42059999999998
37.09,Evening,Weekend,4.0,Low,Clear,3.33,1.87,0.18,,76.46470000000001
29.1,Morning,Weekday,4.0,High,Clear,3.26,0.82,0.12,29.8,30.698
31.39,Afternoon,Weekday,1.0,Low,Clear,3.63,0.86,0.19,28.43,36.0271
22.26,Evening,Weekday,2.0,Medium,Clear,,0.63,0.29,105.77,46.7471
41.24,Afternoon,Weekday,1.0,High,Clear,3.91,1.03,0.38,38.26,60.92600000000001
39.96,Afternoon,Weekday,4.0,Low,Clear,3.89,1.0,0.2,9.66,45.782
49.34,Afternoon,Weekend,4.0,Low,Clear,,1.12,0.15,78.36,69.91480000000001
21.45,Evening,Weekday,2.0,Medium,Clear,4.27,1.12,0.3,82.54,53.056
12.62,Afternoon,Weekday,3.0,,Clear,3.12,1.55,0.29,47.38,36.4212
14.27,Morning,Weekend,1.0,Low,Clear,,1.45,0.27,27.05,
6.29,Afternoon,Weekday,3.0,,Clear,4.15,1.37,0.21,80.37,29.645000000000003
5.63,Evening,Weekday,1.0,Low,Clear,3.88,1.43,,82.22,51.39649999999999
,,Weekday,1.0,Medium,Clear,3.41,0.57,0.39,92.72,57.9476
3.76,Morning,Weekday,4.0,,Clear,4.31,1.55,0.16,75.06,22.1476
18.44,Afternoon,Weekday,2.0,Low,Rain,4.99,1.9,0.18,44.45,48.027
35.9,,Weekend,2.0,High,Clear,4.03,1.79,0.13,107.25,
15.0,Night,Weekday,3.0,Low,Snow,4.72,1.76,0.21,73.07,46.46469999999999
44.91,Night,Weekday,1.0,Low,Rain,4.73,1.11,0.33,25.7,63.0611
43.81,Afternoon,Weekday,3.0,Medium,Clear,2.81,1.28,0.26,42.48,69.9316
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02,44.7782
27.1,,Weekday,3.0,High,Clear,4.11,1.05,0.18,113.75,53.040000000000006
10.74,Morning,,3.0,Medium,Clear,2.2,0.51,0.32,49.59,23.5462
21.11,Afternoon,Weekend,4.0,High,Rain,4.61,0.69,0.18,84.06,34.3067
40.66,Afternoon,Weekday,2.0,Medium,Clear,3.9,0.67,0.3,34.29,41.4292
39.0,Evening,Weekend,1.0,Low,Clear,2.19,1.56,0.43,64.81,90.8983
35.35,Morning,Weekday,1.0,Medium,Clear,4.2,1.21,0.15,79.01,58.825
16.4,Evening,Weekday,1.0,,Rain,2.38,1.05,0.33,104.04,53.9332
